product_id,customer_id,time_id,cogs,logs
1,2,1,1.4,0.12
1,2,32,1.417,0.12
1,2,60,1.428,0.12
1,3,1,1.4,0.14
1,3,32,1.417,0.14
1,3,60,1.428,0.14
1,4,1,1.4,0.1
1,4,32,1.417,0.1
1,4,60,1.428,0.1
2,2,1,1.45,0.12
2,2,32,1.467,0.12
2,2,60,1.479,0.12
2,3,1,1.45,0.14
2,3,32,1.467,0.14
2,3,60,1.479,0.14
2,4,1,1.45,0.1
2,4,32,1.467,0.1
2,4,60,1.479,0.1
3,2,1,1.45,0.12
3,2,32,1.467,0.12
3,2,60,1.479,0.12
3,3,1,1.45,0.14
3,3,32,1.467,0.14
3,3,60,1.479,0.14
3,4,1,1.45,0.1
3,4,32,1.467,0.1
3,4,60,1.479,0.1
4,2,1,1.1,0.12
4,2,32,1.113,0.12
4,2,60,1.122,0.12
4,3,1,1.1,0.14
4,3,32,1.113,0.14
4,3,60,1.122,0.14
4,4,1,1.1,0.1
4,4,32,1.113,0.1
4,4,60,1.122,0.1
5,2,1,1.05,0.12
5,2,32,1.063,0.12
5,2,60,1.071,0.12
5,3,1,1.05,0.14
5,3,32,1.063,0.14
5,3,60,1.071,0.14
5,4,1,1.05,0.1
5,4,32,1.063,0.1
5,4,60,1.071,0.1
6,2,1,0.75,0.12
6,2,32,0.759,0.12
6,2,60,0.765,0.12
6,3,1,0.75,0.14
6,3,32,0.759,0.14
6,3,60,0.765,0.14
6,4,1,0.75,0.1
6,4,32,0.759,0.1
6,4,60,0.765,0.1
7,2,1,0.7,0.12
7,2,32,0.708,0.12
7,2,60,0.714,0.12
7,3,1,0.7,0.14
7,3,32,0.708,0.14
7,3,60,0.714,0.14
7,4,1,0.7,0.1
7,4,32,0.708,0.1
7,4,60,0.714,0.1
8,2,1,0.8,0.12
8,2,32,0.81,0.12
8,2,60,0.816,0.12
8,3,1,0.8,0.14
8,3,32,0.81,0.14
8,3,60,0.816,0.14
8,4,1,0.8,0.1
8,4,32,0.81,0.1
8,4,60,0.816,0.1
9,2,1,2.6,0.12
9,2,32,2.631,0.12
9,2,60,2.652,0.12
9,3,1,2.6,0.14
9,3,32,2.631,0.14
9,3,60,2.652,0.14
9,4,1,2.6,0.1
9,4,32,2.631,0.1
9,4,60,2.652,0.1
10,2,1,2.7,0.12
10,2,32,2.732,0.12
10,2,60,2.754,0.12
10,3,1,2.7,0.14
10,3,32,2.732,0.14
10,3,60,2.754,0.14
10,4,1,2.7,0.1
10,4,32,2.732,0.1
10,4,60,2.754,0.1
