time_id,date,day,week,month,quarter,year
1,2025-01-01,1,1,1,1,2025
2,2025-01-02,2,1,1,1,2025
3,2025-01-03,3,1,1,1,2025
4,2025-01-04,4,1,1,1,2025
5,2025-01-05,5,1,1,1,2025
6,2025-01-06,6,1,1,1,2025
7,2025-01-07,7,1,1,1,2025
8,2025-01-08,8,2,1,1,2025
9,2025-01-09,9,2,1,1,2025
10,2025-01-10,10,2,1,1,2025
11,2025-01-11,11,2,1,1,2025
12,2025-01-12,12,2,1,1,2025
13,2025-01-13,13,2,1,1,2025
14,2025-01-14,14,2,1,1,2025
15,2025-01-15,15,3,1,1,2025
16,2025-01-16,16,3,1,1,2025
17,2025-01-17,17,3,1,1,2025
18,2025-01-18,18,3,1,1,2025
19,2025-01-19,19,3,1,1,2025
20,2025-01-20,20,3,1,1,2025
21,2025-01-21,21,3,1,1,2025
22,2025-01-22,22,4,1,1,2025
23,2025-01-23,23,4,1,1,2025
24,2025-01-24,24,4,1,1,2025
25,2025-01-25,25,4,1,1,2025
26,2025-01-26,26,4,1,1,2025
27,2025-01-27,27,4,1,1,2025
28,2025-01-28,28,4,1,1,2025
29,2025-01-29,29,5,1,1,2025
30,2025-01-30,30,5,1,1,2025
31,2025-01-31,31,5,1,1,2025
32,2025-02-01,32,5,2,1,2025
33,2025-02-02,33,5,2,1,2025
34,2025-02-03,34,5,2,1,2025
35,2025-02-04,35,5,2,1,2025
36,2025-02-05,36,6,2,1,2025
37,2025-02-06,37,6,2,1,2025
38,2025-02-07,38,6,2,1,2025
39,2025-02-08,39,6,2,1,2025
40,2025-02-09,40,6,2,1,2025
41,2025-02-10,41,6,2,1,2025
42,2025-02-11,42,6,2,1,2025
43,2025-02-12,43,7,2,1,2025
44,2025-02-13,44,7,2,1,2025
45,2025-02-14,45,7,2,1,2025
46,2025-02-15,46,7,2,1,2025
47,2025-02-16,47,7,2,1,2025
48,2025-02-17,48,7,2,1,2025
49,2025-02-18,49,7,2,1,2025
50,2025-02-19,50,8,2,1,2025
51,2025-02-20,51,8,2,1,2025
52,2025-02-21,52,8,2,1,2025
53,2025-02-22,53,8,2,1,2025
54,2025-02-23,54,8,2,1,2025
55,2025-02-24,55,8,2,1,2025
56,2025-02-25,56,8,2,1,2025
57,2025-02-26,57,9,2,1,2025
58,2025-02-27,58,9,2,1,2025
59,2025-02-28,59,9,2,1,2025
60,2025-03-01,60,9,3,1,2025
61,2025-03-02,61,9,3,1,2025
62,2025-03-03,62,9,3,1,2025
63,2025-03-04,63,9,3,1,2025
64,2025-03-05,64,10,3,1,2025
65,2025-03-06,65,10,3,1,2025
66,2025-03-07,66,10,3,1,2025
67,2025-03-08,67,10,3,1,2025
68,2025-03-09,68,10,3,1,2025
69,2025-03-10,69,10,3,1,2025
70,2025-03-11,70,10,3,1,2025
71,2025-03-12,71,11,3,1,2025
72,2025-03-13,72,11,3,1,2025
73,2025-03-14,73,11,3,1,2025
74,2025-03-15,74,11,3,1,2025
75,2025-03-16,75,11,3,1,2025
76,2025-03-17,76,11,3,1,2025
77,2025-03-18,77,11,3,1,2025
78,2025-03-19,78,12,3,1,2025
79,2025-03-20,79,12,3,1,2025
80,2025-03-21,80,12,3,1,2025
81,2025-03-22,81,12,3,1,2025
82,2025-03-23,82,12,3,1,2025
83,2025-03-24,83,12,3,1,2025
84,2025-03-25,84,12,3,1,2025
85,2025-03-26,85,13,3,1,2025
86,2025-03-27,86,13,3,1,2025
87,2025-03-28,87,13,3,1,2025
88,2025-03-29,88,13,3,1,2025
89,2025-03-30,89,13,3,1,2025
90,2025-03-31,90,13,3,1,2025
